node1,node2,category,comment,,,
Adonis,Beroe,descendant,,,,
Adonis,Golgos,descendant,,,,
Aeetes,Medea,descendant,,,,
Aesopus,Harpinna,descendant,,,,
Alcmene,Heracles,descendant,,,,
Alcmene,Iphicles,descendant,,,,
Alcmene,Laonome,descendant,,,,
Amphissus,Dryope,descendant,,,,
Amphitryon,Iphicles,descendant,,,,
Amphitryon,Laonome,descendant,,,,
Anaxo,Alcmene,descendant,,,,
Andromeda,Electryon,descendant,,,,
Aphrodite,Tyche,descendant,,,,
Aphrodite,Rhode,descendant,,,,
Aphrodite,Peitho,descendant,,,,
Aphrodite,Eunomia,descendant,,,,
Aphrodite,Hermaphroditus,descendant,,,,
Aphrodite,Anteros,descendant,,,,
Aphrodite,Eros,descendant,,,,
Aphrodite,Himeros,descendant,,,,
Aphrodite,Harmonia,descendant,,,,
Aphrodite,Phobos,descendant,,,,
Aphrodite,Deimos,descendant,,,,
Aphrodite,Adrestia,descendant,,,,
Aphrodite,Hymenaios,descendant,,,,
Aphrodite,Iacchus,descendant,,,,
Aphrodite,Priapus,descendant,,,,
Aphrodite,Rhodos,descendant,,,,
Aphrodite,Beroe,descendant,,,,
Aphrodite,Golgos,descendant,,,,
Aphrodite,Eryx,descendant,,,,
Aphrodite,Astynous,descendant,,,,
Apollo,Dryope,descendant,,,,
Ares,Anteros,descendant,,,,
Ares,Eros,descendant,,,,
Ares,Himeros,descendant,,,,
Ares,Phobos,descendant,,,,
Ares,Deimos,descendant,,,,
Ares,Adrestia,descendant,,,,
Ares,Edonus ,descendant,,,,
Ares,Mygdon,descendant,,,,
Ares,Biston,descendant,,,,
Ares,Enyalius,descendant,,,,
Ares,Nike,descendant,,,,
Atlas,Maia,descendant,,,,
Butes,Eryx,descendant,,,,
Cadmus,Semele,descendant,,,,
Cadmus,Polydorus,descendant,,,,
Cadmus,Agave,descendant,,,,
Cadmus,Autonoe,descendant,,,,
Cadmus,Ino,descendant,,,,
Calliope,Edonus ,descendant,,,,
Calliope,Mygdon,descendant,,,,
Chaos,Tartarus,descendant,,,,
Chaos,Gaea,descendant,,,,
Chaos,Eros,descendant,,,,
Chaos,Erebus,descendant,,,,
Chaos,Nyx,descendant,,,,
Chione,Autolycus,descendant,,,,
Cinyras,Myrrah,descendant,,,,
Clymene,Heliades,descendant,,,,
Clymene,Atlas,descendant,,,,
Coeus,Leto,descendant,,,,
Coeus,Asteria,descendant,,,,
Cronus,Hades,descendant,,,,
Cronus,Demeter,descendant,,,,
Cronus,Poseidon,descendant,,,,
Cronus,Hestia,descendant,,,,
Cronus,Zeus,descendant,,,,
Cronus,Hera,descendant,,,,
Cronus,Heista,descendant,,,,
Danae,Perseus,descendant,,,,
Demeter,Persephone,descendant,,,,
Dione,Aphrodite,descendant,,,,
Dionysus,Hymenaios,descendant,,,,
Dionysus,Iacchus,descendant,,,,
Dionysus,Priapus,descendant,,,,
Doris,Nereids,descendant,,,,
Dryope,Pan,descendant,,,,
Electryon,Alcmene,descendant,,,,
Enyo,Enyalius,descendant,,,,
Erebus,Aether,descendant,,,,
Erebus,Hemera,descendant,,,,
Europa,Sarpedon,descendant,,,,
Europa,Minos,descendant,,,,
Europa,Rhadamanthys,descendant,,,,
Eurynome,Charites,descendant,,,,
Gaea,Typhon,descendant,,,,
Gaea,Uranus,descendant,,,,
Gaea,Ourea,descendant,,,,
Gaea,Pontus,descendant,,,,
Gaea,Cronus,descendant,,,,
Gaea,Hectatonchines,descendant,,,,
Gaea,Cyclopes,descendant,,,,
Gaea,Echidna,descendant,,,,
Gaea,Rhea,descendant,,,,
Gaea,Phoebe,descendant,,,,
Gaea,Coeus,descendant,,,,
Gaea,Mnemosyne,descendant,,,,
Gaea,Hyperion,descendant,,,,
Gaea,Tethys,descendant,,,,
Gaea,Oceanus,descendant,,,,
Gaea,Crius,descendant,,,,
Gaea,Iapetus,descendant,,,,
Gaea,Theia,descendant,,,,
Gaea,Themis,descendant,,,,
Harmonia,Semele,descendant,,,,
Harmonia,Polydorus,descendant,,,,
Harmonia,Agave,descendant,,,,
Harmonia,Autonoe,descendant,,,,
Harmonia,Ino,descendant,,,,
Helios,Circe,descendant,,,,
Helios,Aeetes,descendant,,,,
Hera,Hebe,descendant,,,,
Hera,Enyo,descendant,,,,
Hera,Hephaestus,descendant,,,,
Hera,Eileithya,descendant,,,,
Hera,Ares,descendant,,,,
Hera,Angelos,descendant,,,,
Hera,Eris,descendant,,,,
Hera,Hebe,descendant,,,,
Hera,Typhon,descendant,,,,
Hermes,Tyche,descendant,,,,
Hermes,Rhode,descendant,,,,
Hermes,Eunomia,descendant,,,,
Hermes,Hermaphroditus,descendant,,,,
Hermes,Pan,descendant,,,,
Hermes,Autolycus,descendant,,,,
Hyperion,Helios,descendant,,,,
Hyperion,Selene,descendant,,,,
Hyperion,Eos,descendant,,,,
Iapetus,Prometheus,descendant,,,,
Iapetus,Atlas,descendant,,,,
Iapetus,Menoetius,descendant,,,,
Idyia,Medea,descendant,,,,
Io,Epaphus,descendant,,,,
Leda,Helena,descendant,,,,
Leda,Clytemnestra,descendant,,,,
Leda,Castor,descendant,,,,
Leda,Pollus,descendant,,,,
Leto,Apollo,descendant,,,,
Leto,Artemis,descendant,,,,
Maia,Hermes,descendant,,,,
Metis,Athena,descendant,,,,
Mnemosyne,Muses,descendant,,,,
Myrrha,Adonis,descendant,,,,
Nereus,Nereids,descendant,,,,
Oceanus,Oceanids,descendant,,,,
Perses,Circe,descendant,,,,
Perses,Aeetes,descendant,,,,
Perseus,Electryon,descendant,,,,
Perseus,Sthenelus,descendant,,,,
Phaethon,Astynous,descendant,,,,
Phoebe,Leto,descendant,,,,
Phoebe,Asteria,descendant,,,,
Poseidon,Rhodos,descendant,,,,
Rhea,Hades,descendant,,,,
Rhea,Demeter,descendant,,,,
Rhea,Poseidon,descendant,,,,
Rhea,Hestia,descendant,,,,
Rhea,Zeus,descendant,,,,
Rhea,Hera,descendant,,,,
Rhea,Heista,descendant,,,,
Semele,Dionysus,descendant,,,,
Tartarus,Typhon,descendant,,,,
Terpsichore,Biston,descendant,,,,
Tethys,Oceanids,descendant,,,,
Theia,Helios,descendant,,,,
Theia,Selene,descendant,,,,
Theia,Eos,descendant,,,,
Thestius,Leda,descendant,,,,
Tyndareus,Helena,descendant,,,,
