title,yearOn,yearOff,category,scale
homo erectus,1,,event,mya
homo habilis,2,,event,mya
Pleistocene,3,0,epoch,mya
australopithecus,3,,event,mya
Quaternary,3,0,period,mya
bipedalism,4,,event,mya
LCA chimpanzee,6,,event,mya
hominina,8,,event,mya
LCA gorilla,9,,event,mya
hominiae,14,,event,mya
hominidae,20,,event,mya
hominoidea,22,,event,mya
Miocene,23,3,period,mya
Neogene,23,3,period,mya
catarrhini,30,,event,mya
Oligocene,34,23,epoch,mya
simiiformes,40,,event,mya
Eocene,56,34,epoch,mya
halplorrhini,63,,event,mya
Paleocene,66,56,epoch,mya
Cenozoic,66,0,era,mya
primates,66,,event,mya
Paleogene,66,23,period,mya
LCA mice,100,,event,mya
Cretaceous,145,66,period,mya
placental mammals,160,,event,mya
eutherians,160,,event,mya
Jurassic,201,145,period,mya
mammals,220,,event,mya
woody trees,245,,event,mya
Mesozoic,251,66,era,mya
Triassic,251,201,period,mya
Permian,298,251,period,mya
reptiles,310,,event,mya
Carboniferous,358,298,period,mya
amphibia,360,,event,mya
neocortex,360,,event,mya
tetrapods,395,,event,mya
Devonian,419,358,period,mya
Silurian,443,419,period,mya
jawed fish,460,,event,mya
land plant spors,465,,event,mya
Ordovician,485,443,period,mya
vertebrates,530,,event,mya
Phanerozoic,541,0,eon,mya
Paleozoic,541,251,era,mya
Cambrian explosion,541,,event,mya
Cambrian,541,485,period,mya
worms,560,,event,mya
animals,610,,event,mya
Ediacaran,635,541,period,mya
Cryogenian,850,635,period,mya
Neoproterozoic,1000,541,era,mya
Tonian,1000,850,period,mya
sexual reproduction,1200,,event,mya
Stenian,1200,1000,period,mya
ectasian,1400,1200,period,mya
Mesoproterozoic,1600,1000,era,mya
Calymmian,1600,1400,period,mya
Statherian,1800,1600,period,mya
Orosirian,2050,1800,period,mya
eucaryots,2100,,event,mya
Rhyacian,2300,2050,period,mya
Proterozoic,2500,541,eon,mya
Paleoproterozoic,2500,1600,era,mya
great oxygenation event,2500,,event,mya
Siderian,2500,2300,period,mya
Neoarchean,2800,2500,era,mya
Mesoarchean,3200,2800,era,mya
photosynthesis,3500,,event,mya
Paleoarchean,3600,3200,era,mya
cells,3900,,event,mya
Archean,4000,2500,eon,mya
Eoarchean,4000,3600,era,mya
DNA,4000,,event,mya
life,4200,,event,mya
Moon,4527,,event,mya
Hadean,4600,4000,eon,mya
Precambrian,4600,541,supereon,mya
Paleolithic (Old Stone Age),-3300000,-12000,epoch,year
Lomekwi,-3300000,-2600000,epoch,year
Oldowan,-2600000,-1700000,epoch,year
Acheulan,-1760000,-130000,epoch,year
Madrasian,-1500000,-500000,epoch,year
Soanian,-500000,-1300000,epoch,year
Clactonian,-424000,-400000,epoch,year
Mugharan,-400000,-220000,epoch,year
lower paleolithic,-330000,-300000,epoch,year
middle paleolithic,-300000,-50000,epoch,year
upper paleolithic,-50000,-12000,epoch,year
ceramik,-30000,,invention,year
mesolithic,-20000,-8000,epoch,year
needle,-20000,,invention,year
Hoehle von Laxcaux,-17000,-15000,art,year
Holozän,-11700,-3000,epoch,year
Neolithic (Young Stone Age),-10000,-4500,epoch,year
net,-10000,,invention,year
clay brick,-10000,,invention,year
Stonehenge,-8000,-7000,art,year
boat,-7500,,invention,year
Old Egypt,-4000,-200,epoch,year
sun dial,-4000,,invention,year
The Sumer,-3500,-2000,epoch,year
wheel,-3500,,invention,year
plough,-3500,,invention,year
papyrus,-3500,,invention,year
Bronze Age,-3000,-800,epoch,year
Maya,-3000,900,epoch,year
glas,-3000,,invention,year
Pyramiden von Gizeh,-2550,-2500,art,year
iron smelting,-1900,,invention,year
alphabet,-1700,,invention,year
Griechenland,-1600,-700,epoch,year
Mykenen,-1600,-1500,epoch,year
Mykenische Eroberung Kretas,-1400,-1350,event,year
Anubisschrein,-1350,-1300,art,year
Bueste der Nofretete,-1345,-1343,art,year
Ramses II,-1303,-1213,person,year
Trojanischer Krieg,-1250,-1200,event,year
Iron Age,-1200,-300,epoch,year
Homer,-1000,-970,person,year
Antike,-800,500,epoch,year
Griechische Stadtstaaten,-800,-500,event,year
Olympische Spiele,-776,-393,event,year
Rome,-753,500,epoch,year
